uri,filename
https://saref.etsi.org/saref4grid/,a1fc4c_476ee00b46e8_
https://saref.etsi.org/saref4lift/,bfd11d_c96c4a119756_
https://saref.etsi.org/saref4syst/,52615a_5624c7e98326_
https://saref.etsi.org/saref4watr/,f32da7_411f36624bef_
https://saref.etsi.org/saref4wear/v2.1.1/,7c896b_fe074570841c_
https://w3id.org/sbeo,e9b5ed_88a5a2b578a7_sbeo
http://iot.ee.surrey.ac.uk/citypulse/ontologies/sao/sao,250bb9_4654479ea918_sao
http://www.w3id.org/unocs#,a0c759_56f54904b281_unocs
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/,ff2e41_6bfe45f8609d_
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/,ff2e41_3f678120d085_
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/,ff2e41_2ad29892c322_
https://w3id.org/aic#,66e174_bd4b28027b5d_aic
https://www.w3id.org/eurocodes/ec1990#,cf1ccf_23d6fa37461e_ec1990
https://w3id.org/fmo#,6dfb46_a6ccb6e8dcb3_fmo
https://w3id.org/hmo#,6528c4_9acb770a58e1_hmo
