uri,filename
https://w3id.org/bop#,bop_5dc390b08ef6_bop.ttl
http://www.w3id.org/fso#,vs_7f6b47effa52_fso.ttl
https://purl.org/fisa#,c873bb_40496355476a_scraped_ontology.ttl
